Tier,Country,Organization Name,Status,Category,Alignment with MI (1-5),Urban Relevance (1-5),Scale Potential (1-5),Geographic Reach,Website,Notes,Confirmed / Likely Urban & Peri-Urban Areas of Operation,Confidence Level,Alignment Numeric (Ignore),Scale Numberic (Ignore),align_n,scale_n,urban_n
Tier 3,Nicaragua,Asociación de Mujeres Profesionales por el Desarrollo Integral,Idea,"NGO, Women-Focused",4 - Very Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,https://www.facebook.com/apadeimnicaragua/?locale=es_LA,"Focuses on women’s economic empowerment; high alignment but smaller, less scalable cohorts.","Managua, León",Medium,4,2,4,2,3.0
Tier 3,Nicaragua,Opportunity International Canada,Idea,INGO,2 - Fair Fit,Unknown,4 - Very Good (500-999),4 - International,https://opportunityinternational.ca/what-we-do/where-we-work/nicaragua/,Works through financial institutions rather than directly with entrepreneurs; strong mission alignment but indirect pipeline.,Managua (through partner institutions),Low,2,4,2,4,
Tier 3,Nicaragua,The NEO Fund,Idea,Corporate,3 - Good Fit,Unknown,3 - Good (200-499),4 - International,https://www.theneofund.org/,"Regional youth employment and entrepreneurship fund; indirect, program-based pipeline rather than direct cohort sourcing.",Managua,Low,3,3,3,3,
Tier 3,Nicaragua,Fundación CODESPA,Idea,"INGO, Entrepreneur Support Org",3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://us.codespa.org/,Strong experience in livelihoods and microenterprise development; typically operates through structured programs with accessible participant cohorts.,"Managua, León",Medium,3,3,3,3,3.0
Tier 3,Malawi,FINCA Malawi,Idea,"MFI, INGO",5 - Excellent Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://finca.mw/,Strong group-lending model creates structured cohorts of microentrepreneurs; excellent alignment and reliable pipeline.,"Lilongwe, Blantyre, Mzuzu",High,5,4,5,4,2.0
Tier 3,Malawi,CARE Malawi,Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",4 - International,https://www.care.org/our-work/where-we-work/malawi/,Extensive VSLA networks feeding into microenterprise; one of the strongest pipeline partners in Malawi.,"Lilongwe, Blantyre, peri-urban livelihood communities",Medium,4,5,4,5,2.0
Tier 3,Malawi,Vision Fund Malawi,In Conversation,"MFI, Faith-Based",5 - Excellent Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://visionfund.org/,Faith-based microfinance with strong alignment to MI; direct access to organized entrepreneur groups.,"Lilongwe, Blantyre, Mzuzu",Medium,5,4,5,4,2.0
Tier 3,Malawi,Opportunity International Malawi,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://opportunity.org/our-impact/where-we-work/malawi-facts-about-poverty,Works through local financial institutions; mission aligned with moderately accessible pipeline.,"Lilongwe, Blantyre",Low,3,4,3,4,2.0
Tier 3,Malawi,Plan International,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://plan-international.org/malawi/,Strong youth and livelihoods programming; pipeline exists but less consistently microenterprise-focused.,"Lilongwe, Mzuzu (youth livelihoods programming)",Low,3,4,3,4,2.0
Tier 3,Malawi,National Economic Empowerment Fund (NEEF),Idea,Government,3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.neef.mw/,Provides financing to small entrepreneurs; strong access potential though more institutional.,"Lilongwe, Blantyre, Mzuzu",Medium,3,4,3,4,3.0
Tier 3,Malawi,NBS Bank,Idea,MFI,2 - Fair Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),3 - National,https://nbs.mw/,Serves SMEs and microentrepreneurs; accessible pipeline but more commercially oriented.,"Lilongwe, Blantyre, Mzuzu",Medium,2,4,2,4,2.0
Tier 3,Malawi,Malawi Union of Savings and Credit Cooperatives (MUSCCO),Idea,Co-op,3 - Good Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",3 - National,https://www.muscco.org/,Umbrella network for SACCOs; large reach but indirect access through member cooperatives.,"Lilongwe, Blantyre (through SACCO network members)",Medium,3,5,3,5,2.0
Tier 3,Malawi,ECLOF International Malawi,Idea,"MFI, Faith-Based",3 - Good Fit,2 – Limited Urban Relevance,3 - Good (200-499),4 - International,https://www.eclof.org/africa/,"Faith-based microfinance institution using group lending to support low-income entrepreneurs; strong mission alignment and structured cohorts, but predominantly rural-focused with limited clear pipeline of urban microentrepreneurs.","Lilongwe, Blantyre",Medium,3,3,3,3,2.0
Tier 3,Malawi,Microloan Foundation Malawi,Idea,"MFI, Women-Focused",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://www.microloanfoundation.org.uk/our-work/where-we-work/malawi/,"Women-focused microfinance organization providing group-based loans and training; highly aligned in mission and cohort structure, but primarily operates in rural areas, limiting relevance for urban microentrepreneur sourcing.","Lilongwe, Blantyre, peri-urban women entrepreneur communities",Medium,4,3,4,3,3.0
Tier 3,Malawi,Emerge Livelihoods,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,https://emergelivelihoods.org/,Smaller livelihoods organization with direct access to entrepreneurs; high alignment but limited scale.,Lilongwe,Medium,4,2,4,2,3.0
Tier 3,Malawi,FINCOOP SACCO,Idea,Co-op,3 - Good Fit,2 – Limited Urban Relevance,2 - Fair (50-199),2 - Regional,https://fincoopmw.com/,Local savings and credit cooperative with direct access to members; smaller but highly accessible pipeline.,"Lilongwe, Blantyre",Low,3,2,3,2,2.0
Tier 3,Cape Verde,Pro Empresa Cabo Verde,In Conversation,"Government, Entrepreneur Support Org",5 - Excellent Fit,4 – Strong Urban Presence,3 - Good (200-499),3 - National,https://www.proempresa.cv/,"Primary MSME support agency in Cape Verde; directly works with entrepreneurs through training, formalization, and business support programs. Best single entry point for accessing urban microentrepreneurs. They have a Fundo Lavanta Program in connection with UNDP","Praia, Mindelo, Espargos",High,5,3,5,3,4.0
Tier 3,Cape Verde,Câmara de Comércio de Sotavento,Idea,Chamber of Commerce,2 - Fair Fit,2 – Limited Urban Relevance,3 - Good (200-499),2 - Regional,https://www.ccs.org.cv/index.php/pt/,"Covers Praia (largest urban market); strong access to small business owners, though skewed slightly toward more formal SMEs vs microentrepreneurs.",Praia,High,2,3,2,3,2.0
Tier 3,Cape Verde,Câmara de Comércio de Barlavento,Idea,Chamber of Commerce,2 - Fair Fit,2 – Limited Urban Relevance,2 - Fair (50-199),2 - Regional,https://www.camara.cv/,Covers Mindelo (second-largest city); smaller but valuable for geographic diversification and urban access.,Mindelo,High,2,2,2,2,2.0
Tier 3,Cape Verde,Banco Comercial do Atlântico,Idea,"Corporate, MFI",3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.bca.cv/,"One of the largest banks in Cape Verde; strong SME exposure and urban reach, but commercial orientation and limited structured pipeline reduce alignment.","Praia, Mindelo, Santa Maria",Medium,3,4,3,4,3.0
Tier 3,Cape Verde,Caixa Económica de Cabo Verde,Idea,"Corporate, MFI",3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.caixa.cv/,Works with individuals and small businesses; good access to microentrepreneurs but lacks programmatic engagement or cohort structure.,"Praia, Mindelo, Espargos",Medium,3,4,3,4,3.0
Tier 3,Cape Verde,Banco Africano de Investimento,In Conversation,Corporate,2 - Fair Fit,Unknown,3 - Good (200-499),3 - National,https://www.bancobai.cv/,More focused on corporate and larger SME lending; limited relevance for microentrepreneurs and weak pipeline accessibility.,"Praia, Mindelo",Low,2,3,2,3,
